,time,open,high,low,close,volume,ticker,Info01,Info02
0,2023-08-02,37000,37000,37000,37000,100,AGX,0,
1,2023-08-04,40000,40000,40000,40000,200,AGX,0,1.0
2,2023-08-09,40000,40000,40000,40000,700,AGX,0,0.0
3,2023-08-10,40000,40000,40000,40000,800,AGX,0,0.0
4,2023-08-15,37000,37000,37000,37000,100,AGX,0,-1.0
5,2023-08-21,37000,37000,37000,37000,100,AGX,0,0.0
6,2023-08-22,37000,37000,37000,37000,100,AGX,0,0.0
7,2023-08-29,42000,42500,42000,42500,1200,AGX,1,1.0
8,2023-08-31,40000,47000,38000,38000,500,AGX,-1,-1.0
9,2023-09-18,40600,40600,40600,40600,400,AGX,0,1.0
